"Image_Presented","rawDT","SlideNumber","SubID","logDT","residDT","SequenceLocation","TwoAFC_Sum","TwoAFC_PropCorrect","SequenceNumber"
"Movies/Dog_2_B.mov",1.34943008422852,46,"A005",0.130150388099397,0.267845938290597,"Slide2",1,0.2,12
"Movies/Dog_2_A.mov",0.865688979625702,47,"A005",-0.062638111093326,0.0762274314954226,"Slide3",1,0.2,12
"Movies/black.mov",0.61529016494751,48,"A005",-0.21092002679912,-0.0708994960334079,"Blank",1,0.2,12
"Movies/Dog_1_A.mov",1.26604020595551,49,"A005",0.102447497898834,0.243608511729871,"Slide1",1,0.2,13
"Movies/Dog_2_B.mov",0.747959792613983,50,"A005",-0.126121747476729,0.0161657170252748,"Slide2",1,0.2,13
"Movies/Dog_1_A.mov",0.331817477941513,51,"A005",-0.479100741959518,-0.335700410962678,"Slide3",1,0.2,13
"Movies/black.mov",0.482757389545441,52,"A005",-0.316271069771775,-0.171771031014435,"Blank",1,0.2,13
"Movies/Dog_3_A.mov",0.565348267555237,53,"A005",-0.24768393433818,-0.102096942318443,"Slide1",1,0.2,14
"Movies/Dog_2_B.mov",0.882389903068542,54,"A005",-0.0543394700450921,0.0923221052046914,"Slide2",1,0.2,14
"Movies/Dog_3_A.mov",0.464430928230286,55,"A005",-0.333078866641269,-0.185354712185213,"Slide3",1,0.2,14
"Movies/black.mov",0.582803845405579,56,"A005",-0.234477591368564,-0.0857025129747115,"Blank",1,0.2,14
"Movies/Dog_4_A.mov",0.84912520647049,57,"A005",-0.0710282667995874,0.0787864128709807,"Slide1",1,0.2,15
"Movies/Dog_1_B.mov",0.982279598712921,58,"A005",-0.00776487586406156,0.14307839989812,"Slide2",1,0.2,15
"Movies/Dog_4_A.mov",0.565340518951416,59,"A005",-0.247689886773407,-0.0958287168239819,"Slide3",1,0.2,15
"Movies/black.mov",0.482003301382065,60,"A005",-0.316949987140604,-0.164081334959389,"Blank",1,0.2,15
"Movies/Dog_3_A.mov",0.732125520706177,61,"A005",-0.13541445408266,0.0184515457894493,"Slide1",1,0.2,16
"Movies/Dog_1_B.mov",0.648739755153656,62,"A005",-0.187929487433068,-0.0330760087932311,"Slide2",1,0.2,16
"Movies/Dog_3_A.mov",0.698858082294464,63,"A005",-0.15561100785091,0.000220335137368549,"Slide3",1,0.2,16
"Movies/black.mov",0.78221333026886,64,"A005",-0.106674787191254,0.0501250497494927,"Blank",1,0.2,16
"Movies/Dog_2_A.mov",0.798897862434387,65,"A005",-0.097508740856908,0.0602504537709774,"Slide1",1,0.2,17
"Movies/Dog_1_B.mov",1.14924383163452,66,"A005",0.0604121814288481,0.219121822262941,"Slide2",1,0.2,17
