Image_Presented,rawDT,SlideNumber,SubID,SequenceLocation,logDT,residDT,TwoAFC_Sum,TwoAFC_PropCorrect,SequenceNumber
Movies/BigAnimals05_A3.mov,1.399454117,53,A005,Slide1,0.145958664,0.115701511,3,0.6,14
Movies/BigAnimals13_B4.mov,1.666316032,54,A005,Slide2,0.221757373,0.191937685,3,0.6,14
Movies/BigAnimals13_B4.mov,0.81558007,55,A005,Slide3,-0.088533395,-0.117929798,3,0.6,14
Movies/black.mov,0.431903422,56,A005,Blank,-0.364613355,-0.393599947,3,0.6,14
Movies/BigAnimals06_A4.mov,2.182563305,57,A005,Slide1,0.338966849,0.310377251,3,0.6,15
Movies/BigAnimals11_B3.mov,1.116744637,58,A005,Slide2,0.047953876,0.019749071,3,0.6,15
Movies/BigAnimals11_B3.mov,2.049933195,59,A005,Slide3,0.311739708,0.283908071,3,0.6,15
Movies/black.mov,0.397715002,60,A005,Blank,-0.400428027,-0.427897582,3,0.6,15
Movies/BigAnimals59_A1.mov,2.63470149,61,A005,Slide1,0.420731417,0.393613364,3,0.6,16
Movies/BigAnimals13_B4.mov,1.165914416,62,A005,Slide2,0.066666672,0.039890016,3,0.6,16
Movies/BigAnimals13_B4.mov,0.615351319,63,A005,Slide3,-0.210876864,-0.237321781,3,0.6,16
Movies/black.mov,0.582131386,64,A005,Blank,-0.234978985,-0.261101401,3,0.6,16
Movies/BigAnimals06_A4.mov,1.983346105,65,A005,Slide1,0.297398508,0.27158975,3,0.6,17
Movies/BigAnimals11_B3.mov,1.466118574,66,A005,Slide2,0.166169096,0.140665527,3,0.6,17
Movies/BigAnimals11_B3.mov,0.899084151,67,A005,Slide3,-0.046199658,-0.071406155,3,0.6,17
Movies/black.mov,0.647896409,68,A005,Blank,-0.188494427,-0.213411638,3,0.6,17
Movies/BigAnimals03_A2.mov,2.1000278,69,A005,Slide1,0.322225044,0.297589648,3,0.6,18
Movies/BigAnimals07_B1.mov,1.333662629,70,A005,Slide2,0.125045982,0.100685227,3,0.6,18
Movies/BigAnimals07_B1.mov,1.065777421,71,A005,Slide3,0.027666515,0.003573508,3,0.6,18
Movies/black.mov,1.515319347,72,A005,Blank,0.180504168,0.156672283,3,0.6,18
Movies/BigAnimals05_A3.mov,1.432769656,73,A005,Slide1,0.156176375,0.132599238,3,0.6,19
Movies/BigAnimals07_B1.mov,0.966650426,74,A005,Slide2,-0.014730553,-0.038059076,3,0.6,19
Movies/BigAnimals07_B1.mov,1.482807517,75,A005,Slide3,0.171084779,0.147998964,3,0.6,19
Movies/black.mov,0.348570704,76,A005,Blank,-0.457709116,-0.480557914,3,0.6,19
Movies/BigAnimals03_A2.mov,1.81647718,77,A005,Slide1,0.259229946,0.236612682,3,0.6,20
Movies/BigAnimals11_B3.mov,1.431875825,78,A005,Slide2,0.155905357,0.133514337,3,0.6,20
Movies/BigAnimals11_B3.mov,0.215872198,79,A005,Slide3,-0.665803286,-0.687973163,3,0.6,20
Movies/black.mov,0.799063683,80,A005,Blank,-0.097418608,-0.119372268,3,0.6,20
Movies/BigAnimals05_A3.mov,1.666414022,81,A005,Slide1,0.221782911,0.200040713,3,0.6,21
Movies/BigAnimals07_B1.mov,1.265139937,82,A005,Slide2,0.102138566,0.080603235,3,0.6,21
Movies/BigAnimals07_B1.mov,0.499453276,83,A005,Slide3,-0.301505134,-0.322838037,3,0.6,21
Movies/black.mov,0.415261865,84,A005,Blank,-0.38167795,-0.40281272,3,0.6,21
Movies/BigAnimals06_A4.mov,1.91659236,85,A005,Slide1,0.282529753,0.261588964,3,0.6,22
